Date,Year,Segment,Month,Day of the Week,S. Caramel Staff,Mango Staff,Chocolate Staff,Pure Coconut Staff,Mint Choco Staff,Strawberry Staff,Chai Tea Staff,Hazelnut Staff,Green Tea Staff,Pina Colada Staff,Coffee Staff,Banana Staff,YY Sesame Staff,Vanilla Bean Staff,Cherry Alm Staff,Apricot Staff,Red Bean Staff,Lime Coconut Staff,Pistachio Staff,Ginger Staff,Single Scoop Staff,Double Scoop Staff,Triple Scoop Staff,1 Topping Staff,3 Topping Staff,Waffle Cone Staff,Cus IC Sand Staff,Ice Cream Sand Staff,Tub Staff
2017-04-01,2017,Last Teaching Month,April,Saturday,0.0,30.0,30.0,60.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,12.0,0,68,0
2017-04-02,2017,Last Teaching Month,April,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
2017-04-03,2017,Last Teaching Month,April,Monday,0.0,60.0,60.0,30.0,0.0,0.0,0.0,60.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0,0.0,0,0,0,0,-15,0,0,0,6.0,0,34,0
2017-04-04,2017,Last Teaching Month,April,Tuesday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
2017-04-05,2017,Last Teaching Month,April,Wednesday,60.0,90.0,60.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,-45,0,0,0,24.0,0,34,0
2017-04-06,2017,Last Teaching Month,April,Thursday,60.0,60.0,30.0,30.0,30.0,90.0,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0,0.0,0,0,0,0,-30,0,0,0,30.0,0,0,0
2017-04-07,2017,Last Teaching Month,April,Friday,30.0,0.0,30.0,30.0,30.0,120.0,90.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0,30.0,0,0,0,0,-15,-18,0,0,24.0,0,68,0
2017-04-08,2017,Last Teaching Month,April,Saturday,30.0,30.0,90.0,30.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,6.0,0,0,0
2017-04-09,2017,Last Teaching Month,April,Sunday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
2017-04-10,2017,Last Teaching Month,April,Monday,60.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,18.0,0,0,0
2017-04-11,2017,Last Teaching Month,April,Tuesday,60.0,60.0,0.0,90.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,-15,0,0,0,18.0,0,0,0
2017-04-12,2017,Last Teaching Month,April,Wednesday,0.0,0.0,0.0,0.0,0.0,30.0,27.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,11.5,0,0,0
2017-04-13,2017,Last Teaching Month,April,Thursday,30.0,90.0,60.0,30.0,0.0,30.0,60.0,0.0,0.0,0.0,0.0,60.0,30.0,0.0,0.0,0,0.0,0,0,0,0,-30,0,0,0,36.0,0,0,0
2017-04-14,2017,Last Teaching Month,April,Friday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0
