Date,Year,Month,WeekInMonth,S. Caramel Staff,Mango Staff,Chocolate Staff,Pure Coconut Staff,Mint Choco Staff,Strawberry Staff,Chai Tea Staff,Hazelnut Staff,Green Tea Staff,Pina Colada Staff,Coffee Staff,Banana Staff,YY Sesame Staff,Vanilla Bean Staff,Cherry Alm Staff,Apricot Staff,Red Bean Staff,Lime Coconut Staff,Pistachio Staff,Ginger Staff,Single Scoop Staff,Double Scoop Staff,Triple Scoop Staff,1 Topping Staff,3 Topping Staff,Waffle Cone Staff,Cus IC Sand Staff,Ice Cream Sand Staff,Tub Staff,Revenue without negative
2017-04-07,2017,April,2,150.0,240.0,210.0,210.0,210.0,210.0,120.0,60.0,0.0,60.0,0.0,60.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-105.0,-18.0,0.0,0.0,96.0,0.0,204.0,0.0,1767.0
2017-04-14,2017,April,3,180.0,180.0,180.0,150.0,60.0,150.0,117.5,0.0,0.0,0.0,0.0,120.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,89.5,0.0,0.0,0.0,1212.0
2017-04-21,2017,April,4,90.0,300.0,450.0,360.0,60.0,120.0,150.0,0.0,30.0,90.0,0.0,120.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,-165.0,0.0,10.0,8.0,90.0,0.0,68.0,0.0,1811.0
2017-04-28,2017,April,5,120.0,210.0,180.0,180.0,0.0,120.0,60.0,270.0,120.0,180.0,30.0,0.0,90.0,90.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-90.0,0.0,8.0,0.0,78.0,0.0,0.0,0.0,1676.0
2017-05-05,2017,May,1,120.0,90.0,180.0,120.0,180.0,150.0,0.0,180.0,150.0,60.0,0.0,150.0,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,4.0,0.0,102.0,0.0,102.0,0.0,1558.0
2017-05-12,2017,May,2,270.0,360.0,90.0,360.0,210.0,90.0,30.0,0.0,60.0,30.0,60.0,90.0,180.0,60.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,-135.0,0.0,0.0,0.0,114.0,0.0,170.0,0.0,2189.0
2017-05-19,2017,May,3,718.3333299999999,298.33333,330.0,180.0,420.0,150.0,60.0,28.33333,88.33332999999999,120.0,0.0,28.33333,30.0,0.0,120.0,0.0,28.33333,0.0,0.0,210.0,0.0,-150.0,-18.0,4.0,0.0,192.0,0.0,0.0,0.0,2837.9999799999996
2017-05-26,2017,May,4,480.0,390.0,300.0,120.0,300.0,115.0,240.0,60.0,0.0,180.0,0.0,60.0,0.0,145.0,150.0,30.0,0.0,0.0,0.0,90.0,0.0,-210.0,-18.0,8.0,0.0,102.0,0.0,680.0,0.0,3222.0
2017-06-02,2017,June,1,990.0,690.0,450.0,180.0,360.0,60.0,570.0,0.0,180.0,30.0,30.0,0.0,60.0,30.0,30.0,390.0,150.0,0.0,0.0,120.0,0.0,-330.0,-18.0,4.0,8.0,306.0,0.0,34.0,0.0,4324.0
2017-06-09,2017,June,2,1258.33333,444.33333,474.33333,540.0,200.0,596.0,150.0,30.0,510.0,58.333330000000004,116.0,58.333330000000004,60.0,60.0,30.0,270.0,474.33333,0.0,480.0,0.0,0.0,-390.0,-36.0,13.0,8.0,312.0,0.0,0.0,0.0,5716.999980000001
2017-06-16,2017,June,3,960.0,660.0,300.0,510.0,270.0,570.0,270.0,510.0,270.0,90.0,510.0,30.0,90.0,90.0,30.0,30.0,210.0,0.0,390.0,0.0,0.0,-315.0,0.0,8.0,0.0,390.0,0.0,0.0,0.0,5873.0
2017-06-23,2017,June,4,810.0,210.0,390.0,750.0,300.0,90.0,420.0,390.0,120.0,60.0,300.0,30.0,60.0,180.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,-195.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,4293.0
2017-06-30,2017,June,5,689.54545,1227.42424,749.54545,359.09090000000003,809.5454500000001,599.0909,329.09090000000003,147.87879,448.25757,419.54544999999996,89.54545,479.54545,419.54544999999996,808.25757,89.54545,420.0,89.54545,0.0,0.0,0.0,0.0,-345.0,0.0,32.0,0.0,390.0,0.0,68.0,0.0,8319.999919999997
2017-07-07,2017,July,2,420.0,300.0,630.0,90.0,120.0,480.0,30.0,240.0,60.0,90.0,90.0,360.0,270.0,120.0,0.0,30.0,90.0,0.0,0.0,0.0,0.0,-270.0,-18.0,4.0,0.0,204.0,0.0,34.0,0.0,3374.0
2017-07-14,2017,July,3,390.0,150.0,120.0,150.0,30.0,150.0,90.0,450.0,300.0,30.0,360.0,90.0,150.0,60.0,120.0,90.0,30.0,210.0,0.0,60.0,0.0,-135.0,0.0,8.0,0.0,144.0,0.0,34.0,0.0,3081.0
2017-07-21,2017,July,4,360.0,150.0,180.0,90.0,270.0,30.0,120.0,60.0,0.0,0.0,180.0,30.0,30.0,90.0,240.0,0.0,0.0,180.0,0.0,90.0,0.0,-150.0,0.0,8.0,0.0,120.0,0.0,136.0,0.0,2214.0
2017-07-28,2017,July,5,360.0,360.0,90.0,90.0,60.0,240.0,210.0,30.0,30.0,90.0,90.0,90.0,90.0,30.0,90.0,0.0,0.0,0.0,0.0,60.0,0.0,-60.0,-18.0,0.0,0.0,102.0,0.0,102.0,0.0,2136.0
2017-08-04,2017,August,1,270.0,60.0,390.0,270.0,330.0,120.0,180.0,30.0,60.0,210.0,60.0,0.0,60.0,120.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,-120.0,-18.0,8.0,0.0,192.0,0.0,0.0,0.0,2402.0
2017-08-11,2017,August,2,120.0,240.0,30.0,240.0,150.0,150.0,90.0,210.0,30.0,150.0,60.0,30.0,0.0,30.0,150.0,0.0,0.0,60.0,0.0,30.0,0.0,-75.0,0.0,8.0,0.0,126.0,84.0,34.0,0.0,1947.0
2017-08-18,2017,August,3,210.0,540.0,60.0,30.0,330.0,180.0,120.0,180.0,60.0,30.0,90.0,30.0,30.0,60.0,120.0,0.0,30.0,240.0,0.0,0.0,0.0,-60.0,-30.0,0.0,0.0,144.0,0.0,170.0,0.0,2564.0
2017-08-25,2017,August,4,30.0,300.0,90.0,150.0,0.0,210.0,180.0,90.0,30.0,330.0,90.0,120.0,30.0,60.0,150.0,0.0,0.0,210.0,0.0,0.0,0.0,-105.0,-30.0,0.0,0.0,78.0,0.0,0.0,0.0,2013.0
2017-09-01,2017,September,1,120.0,270.0,150.0,0.0,150.0,180.0,60.0,90.0,30.0,270.0,150.0,210.0,60.0,60.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-45.0,-30.0,4.0,0.0,114.0,0.0,0.0,0.0,1873.0
2017-09-08,2017,September,2,210.0,90.0,210.0,60.0,150.0,240.0,150.0,0.0,150.0,30.0,0.0,120.0,180.0,30.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,-105.0,-30.0,0.0,16.0,114.0,0.0,0.0,0.0,1705.0
2017-09-15,2017,September,3,150.0,30.0,120.0,120.0,60.0,180.0,150.0,150.0,90.0,30.0,150.0,150.0,210.0,30.0,60.0,60.0,60.0,30.0,0.0,0.0,0.0,-60.0,-60.0,0.0,0.0,72.0,0.0,0.0,0.0,1782.0
2017-09-22,2017,September,4,480.0,120.0,180.0,300.0,363.33333,186.66667,60.0,0.0,120.0,60.0,90.0,30.0,60.0,60.0,90.0,0.0,30.0,30.0,0.0,0.0,0.0,-60.0,0.0,0.0,8.0,60.0,0.0,0.0,0.0,2268.0
2017-09-29,2017,September,5,240.0,120.0,330.0,120.0,150.0,60.0,30.0,90.0,90.0,90.0,30.0,60.0,0.0,30.0,30.0,90.0,0.0,30.0,0.0,0.0,0.0,-45.0,0.0,0.0,8.0,54.0,0.0,0.0,0.0,1607.0
